Almonds,carbs,21.01
Apple,carbs,13.81
Apricot,carbs,11.12
Asparagus,carbs,3.88
Avocado,carbs,8.53
Baked beans,carbs,18.69
Banana,carbs,22.84
Basil,carbs,2.65
Bean soup,carbs,8.89
Beans lima,carbs,20.17
Beef sandwich,carbs,18.68
Beer,carbs,3.55
Beet greens,carbs,4.33
Beets,carbs,9.56
Berries,carbs,7.68
Bologna,carbs,5.45
Breakfast bar,carbs,72.9
Broccoflower,carbs,6.09
Broccoli,carbs,6.64
Broccoli raab,carbs,2.85
Butter,carbs,0.06
Cabbage green,carbs,5.8
Cabbage red,carbs,7.37
Cactus,carbs,3.33
Calamondin,carbs,13.34
Candy,carbs,98
Carrots,carbs,9.58
Cashew nuts,carbs,32.69
Cassaba melon,carbs,6.58
Cauliflower,carbs,4.97
Celery,carbs,2.97
Cereal,carbs,73.23
Cereal cooked,carbs,11.67
Chard,carbs,3.74
Cheese,carbs,3.82
Chewing gum,carbs,95.37
Chex cereal,carbs,84.5
Chives,carbs,4.35
Cilantro,carbs,3.67
Cocktail,carbs,7.25
Cold cut,carbs,0.97
Collards,carbs,5.42
Cookie,carbs,65.76
Corn,carbs,18.7
Corn flakes,carbs,84.1
Cress,carbs,5.5
Cruller,carbs,45.63
Cucumber,carbs,2.16
Currants,carbs,13.8
Eggplant,carbs,5.88
Fennel bulb,carbs,7.3
Fig,carbs,19.18
Frosted rice,carbs,91.3
Frozen dinner,carbs,11.24
Fruit juice,carbs,11.55
Fruit nectar,carbs,13.12
Fruit Rings,carbs,88
Garlic,carbs,33.06
Gin,carbs,0
Goulash,carbs,10.93
Granola,carbs,69.76
Granola bar,carbs,64.4
Grapefruit,carbs,8.08
Ground meat,carbs,0
Guava,carbs,14.32
Honeydew melon,carbs,9.09
Ice cream,carbs,23.6
Jicama,carbs,8.82
Juneberry,carbs,14.49
Kiwi fruit,carbs,14.66
Kohlrabi,carbs,6.2
Kumquat,carbs,15.9
Leek,carbs,14.15
Lemon,carbs,9.32
Lettuce,carbs,2.97
Lime,carbs,10.54
Lo mein,carbs,20.16
Luncheon meat,carbs,0.97
Lychee,carbs,16.53
Mango,carbs,14.98
Margarine,carbs,0.1
Meat,carbs,0
Meat pie,carbs,17.09
Meat sandwich,carbs,32.67
Milk,carbs,4.85
Mixed nuts,carbs,21.29
Mueslix cereal,carbs,77.8
Muffin,carbs,53.98
Mushroom soup,carbs,3.33
Mushrooms,carbs,3.26
Mustard greens,carbs,4.67
Nectarine,carbs,10.55
Noodle soup,carbs,9.17
Oat cereal,carbs,73.23
Olives,carbs,5.53
Onions mature,carbs,9.34
Orange,carbs,11.75
Orange juice,carbs,11.45
Pad Thai,carbs,14.33
Paella,carbs,16.77
Pancake syrup,carbs,69.6
Papaya,carbs,10.82
Parsley,carbs,6.33
Passion fruit,carbs,23.38
Peach,carbs,9.54
Peanuts,carbs,20.26
Pear,carbs,15.23
Peas green,carbs,14.45
Pepper,carbs,5.13
Pepper banana,carbs,5.35
Persimmon,carbs,18.59
Pie,carbs,34
Pie fried,carbs,42.6
Pineapple,carbs,13.12
Plum,carbs,11.42
Pomegranate,carbs,18.7
Pretzels,carbs,79.97
Protein powder,carbs,6.25
Pudding,carbs,23.01
Radicchio,carbs,4.48
Radish,carbs,3.4
Raisin bran,carbs,77.52
Raw vegetable,carbs,9.58
Rhubarb,carbs,4.54
Rice Flakes,carbs,86.22
